Entity,year,metric,value
United Kingdom,1990,ghg,10.4927225
United Kingdom,1991,ghg,10.588317
United Kingdom,1992,ghg,10.288521
United Kingdom,1993,ghg,10.017321
United Kingdom,1994,ghg,9.896297
United Kingdom,1995,ghg,9.735405
United Kingdom,1996,ghg,10.0647545
United Kingdom,1997,ghg,9.62765
United Kingdom,1998,ghg,9.697672
United Kingdom,1999,ghg,9.545588
United Kingdom,2000,ghg,9.635275
United Kingdom,2001,ghg,9.748509
United Kingdom,2002,ghg,9.40991
United Kingdom,2003,ghg,9.555585
United Kingdom,2004,ghg,9.530167
United Kingdom,2005,ghg,9.412128
United Kingdom,2006,ghg,9.301154
United Kingdom,2007,ghg,9.09334
United Kingdom,2008,ghg,8.785364
United Kingdom,2009,ghg,7.904937
United Kingdom,2010,ghg,8.124633
United Kingdom,2011,ghg,7.3959785
United Kingdom,2012,ghg,7.62153
United Kingdom,2013,ghg,7.4175463
United Kingdom,2014,ghg,6.764833
United Kingdom,2015,ghg,6.461413
United Kingdom,2016,ghg,6.061766
United Kingdom,2017,ghg,5.837845
United Kingdom,2018,ghg,5.6886244
United Kingdom,2019,ghg,5.4350777
United Kingdom,2020,ghg,4.84416
United Kingdom,2021,ghg,5.091122
United Kingdom,2022,ghg,4.6030793
United Kingdom,1990,gdp,26189.0
United Kingdom,1991,gdp,25792.014
United Kingdom,1992,gdp,25790.186
United Kingdom,1993,gdp,26349.342
United Kingdom,1994,gdp,27277.543
United Kingdom,1995,gdp,27861.215
United Kingdom,1996,gdp,28472.248
United Kingdom,1997,gdp,29259.764
United Kingdom,1998,gdp,30077.385
United Kingdom,1999,gdp,30932.537
United Kingdom,2000,gdp,31946.037
United Kingdom,2001,gdp,32660.441
United Kingdom,2002,gdp,33271.3
United Kingdom,2003,gdp,34232.426
United Kingdom,2004,gdp,34865.78
United Kingdom,2005,gdp,35623.625
United Kingdom,2006,gdp,36214.07
United Kingdom,2007,gdp,36816.676
United Kingdom,2008,gdp,36264.79
United Kingdom,2009,gdp,34402.36
United Kingdom,2010,gdp,34754.473
United Kingdom,2011,gdp,34971.0
United Kingdom,2012,gdp,35243.64
United Kingdom,2013,gdp,35660.56
United Kingdom,2014,gdp,36521.86
United Kingdom,2015,gdp,37101.227
United Kingdom,2016,gdp,37593.906
United Kingdom,2017,gdp,38283.938
United Kingdom,2018,gdp,38704.6
United Kingdom,2019,gdp,39113.01
United Kingdom,2020,gdp,34651.184
United Kingdom,2021,gdp,37134.33
United Kingdom,2022,gdp,38406.53
United Kingdom,1990,pop,57367867.0
United Kingdom,1991,pop,57555199.0
United Kingdom,1992,pop,57719272.0
United Kingdom,1993,pop,57861036.0
United Kingdom,1994,pop,58003200.0
United Kingdom,1995,pop,58154632.0
United Kingdom,1996,pop,58298563.0
United Kingdom,1997,pop,58447090.0
United Kingdom,1998,pop,58626822.0
United Kingdom,1999,pop,58838660.0
United Kingdom,2000,pop,59057336.0
United Kingdom,2001,pop,59288095.0
United Kingdom,2002,pop,59540763.0
United Kingdom,2003,pop,59820385.0
United Kingdom,2004,pop,60169964.0
United Kingdom,2005,pop,60596108.0
United Kingdom,2006,pop,61051093.0
United Kingdom,2007,pop,61535860.0
United Kingdom,2008,pop,62027303.0
United Kingdom,2009,pop,62506221.0
United Kingdom,2010,pop,63006484.0
United Kingdom,2011,pop,63509285.0
United Kingdom,2012,pop,63960487.0
United Kingdom,2013,pop,64389386.0
United Kingdom,2014,pop,64865914.0
United Kingdom,2015,pop,65382107.0
United Kingdom,2016,pop,65893359.0
United Kingdom,2017,pop,66354474.0
United Kingdom,2018,pop,66752473.0
United Kingdom,2019,pop,67110958.0
United Kingdom,2020,pop,67351860.0
United Kingdom,2021,pop,67668789.0
United Kingdom,2022,pop,68179315.0
United Kingdom,1990,gdp_log,4.418118916
United Kingdom,1991,gdp_log,4.411485256
United Kingdom,1992,gdp_log,4.411454474
United Kingdom,1993,gdp_log,4.420769774
United Kingdom,1994,gdp_log,4.435805249
United Kingdom,1995,gdp_log,4.445000052
United Kingdom,1996,gdp_log,4.454421758
United Kingdom,1997,gdp_log,4.466270819
United Kingdom,1998,gdp_log,4.478240075
United Kingdom,1999,gdp_log,4.490415541
United Kingdom,2000,gdp_log,4.50441699
United Kingdom,2001,gdp_log,4.514022045
United Kingdom,2002,gdp_log,4.52206977
United Kingdom,2003,gdp_log,4.534437678
United Kingdom,2004,gdp_log,4.542399385
United Kingdom,2005,gdp_log,4.55173811
United Kingdom,2006,gdp_log,4.558877337
United Kingdom,2007,gdp_log,4.566044576
United Kingdom,2008,gdp_log,4.559485167
United Kingdom,2009,gdp_log,4.536588236
United Kingdom,2010,gdp_log,4.541010707
United Kingdom,2011,gdp_log,4.543708051
United Kingdom,2012,gdp_log,4.547080756
United Kingdom,2013,gdp_log,4.552188159
United Kingdom,2014,gdp_log,4.562552887
United Kingdom,2015,gdp_log,4.569388273
United Kingdom,2016,gdp_log,4.575117451
United Kingdom,2017,gdp_log,4.583016604
United Kingdom,2018,gdp_log,4.587762584
United Kingdom,2019,gdp_log,4.592321239
United Kingdom,2020,gdp_log,4.539718079
United Kingdom,2021,gdp_log,4.569775593
United Kingdom,2022,gdp_log,4.584405071
