year,D,F,S,T,O
2000,127000.0,79000.0,72000.0,59995.0,
2001,141000.0,90000.0,81500.0,68950.0,
2002,169950.0,111000.0,97500.0,80395.0,
2003,199950.0,126750.0,123000.0,95000.0,
2004,230000.0,142000.0,144500.0,118000.0,
2005,245000.0,147065.0,153000.0,125500.0,
2006,250000.0,153000.0,160000.0,135000.0,
2007,272500.0,161500.0,170000.0,145000.0,
2008,264000.0,156500.0,165000.0,140000.0,
2009,249000.0,150000.0,159950.0,140000.0,
2010,268000.0,165000.0,168000.0,148000.0,
2011,250000.0,163000.0,162500.0,145000.0,
2012,250000.0,168500.0,165000.0,150000.0,
2013,260000.0,175000.0,167500.0,152500.0,
2014,276000.0,180000.0,175000.0,160000.0,
2015,295000.0,192000.0,182000.0,167500.0,
2016,308000.0,205000.0,190000.0,173000.0,
2017,324000.0,210000.0,200000.0,177950.0,
2018,334000.0,213995.0,210000.0,182000.0,
2019,339950.0,213000.0,214000.0,185000.0,
2020,360000.0,230000.0,228000.0,197000.0,
2021,389950.0,237500.0,248000.0,220000.0,
2022,420000.0,241000.0,265000.0,230000.0,
2023,420000.0,238500.0,265000.0,226000.0,
2024,415000.0,240000.0,268000.0,232500.0,
2025,412500.0,235000.0,275000.0,240000.0,
