year,property_type,median_price
2000,Detached,127000.0
2000,Flats/Maisonettes,79000.0
2000,Semi-Detached,72000.0
2000,Terraced,59995.0
2001,Detached,141000.0
2001,Flats/Maisonettes,90000.0
2001,Semi-Detached,81500.0
2001,Terraced,68950.0
2002,Detached,169950.0
2002,Flats/Maisonettes,111000.0
2002,Semi-Detached,97500.0
2002,Terraced,80395.0
2003,Detached,199950.0
2003,Flats/Maisonettes,126750.0
2003,Semi-Detached,123000.0
2003,Terraced,95000.0
2004,Detached,230000.0
2004,Flats/Maisonettes,142000.0
2004,Semi-Detached,144500.0
2004,Terraced,118000.0
2005,Detached,245000.0
2005,Flats/Maisonettes,147065.0
2005,Semi-Detached,153000.0
2005,Terraced,125500.0
2006,Detached,250000.0
2006,Flats/Maisonettes,153000.0
2006,Semi-Detached,160000.0
2006,Terraced,135000.0
2007,Detached,272500.0
2007,Flats/Maisonettes,161500.0
2007,Semi-Detached,170000.0
2007,Terraced,145000.0
2008,Detached,264000.0
2008,Flats/Maisonettes,156500.0
2008,Semi-Detached,165000.0
2008,Terraced,140000.0
2009,Detached,249000.0
2009,Flats/Maisonettes,150000.0
2009,Semi-Detached,159950.0
2009,Terraced,140000.0
2010,Detached,268000.0
2010,Flats/Maisonettes,165000.0
2010,Semi-Detached,168000.0
2010,Terraced,148000.0
2011,Detached,250000.0
2011,Flats/Maisonettes,163000.0
2011,Semi-Detached,162500.0
2011,Terraced,145000.0
2012,Detached,250000.0
2012,Flats/Maisonettes,168500.0
2012,Semi-Detached,165000.0
2012,Terraced,150000.0
2013,Detached,260000.0
2013,Flats/Maisonettes,175000.0
2013,Semi-Detached,167500.0
2013,Terraced,152500.0
2014,Detached,276000.0
2014,Flats/Maisonettes,180000.0
2014,Semi-Detached,175000.0
2014,Terraced,160000.0
2015,Detached,295000.0
2015,Flats/Maisonettes,192000.0
2015,Semi-Detached,182000.0
2015,Terraced,167500.0
2016,Detached,308000.0
2016,Flats/Maisonettes,205000.0
2016,Semi-Detached,190000.0
2016,Terraced,173000.0
2017,Detached,324000.0
2017,Flats/Maisonettes,210000.0
2017,Semi-Detached,200000.0
2017,Terraced,177950.0
2018,Detached,334000.0
2018,Flats/Maisonettes,213995.0
2018,Semi-Detached,210000.0
2018,Terraced,182000.0
2019,Detached,339950.0
2019,Flats/Maisonettes,213000.0
2019,Semi-Detached,214000.0
2019,Terraced,185000.0
2020,Detached,360000.0
2020,Flats/Maisonettes,230000.0
2020,Semi-Detached,228000.0
2020,Terraced,197000.0
2021,Detached,389950.0
2021,Flats/Maisonettes,237500.0
2021,Semi-Detached,248000.0
2021,Terraced,220000.0
2022,Detached,420000.0
2022,Flats/Maisonettes,241000.0
2022,Semi-Detached,265000.0
2022,Terraced,230000.0
2023,Detached,420000.0
2023,Flats/Maisonettes,238500.0
2023,Semi-Detached,265000.0
2023,Terraced,226000.0
2024,Detached,415000.0
2024,Flats/Maisonettes,240000.0
2024,Semi-Detached,268000.0
2024,Terraced,232500.0
2025,Detached,412500.0
2025,Flats/Maisonettes,235000.0
2025,Semi-Detached,275000.0
2025,Terraced,240000.0
2025,O,
